,CPU_Usage,Memory_Usage,Disk_IO,Network_IO,WL_Backup,WL_Crypto_Mining,WL_Database_Query,WL_Video_Streaming,WL_Web_Service,Power_Consumption
69,41.58,47.92,13.12,5.63,False,False,True,False,False,4426.031481350082
70,23.01,39.91,-0.45,6.77,False,False,False,False,True,2874.796686329061
71,21.75,78.39,39.13,4.44,True,False,False,False,False,5853.8201131801525
72,25.67,42.04,12.8,24.36,False,False,False,True,False,4294.931063396582
73,15.52,25.93,6.41,4.79,False,False,False,False,True,2207.5358692029986
74,9.63,55.7,8.49,19.98,False,False,False,True,False,3841.9791548227463
75,33.23,31.73,12.6,6.53,False,False,True,False,False,3459.3324378818406
76,77.77,31.56,8.28,5.46,False,True,False,False,False,5024.686157896883
79,38.72,41.83,20.95,15.96,False,False,False,True,False,4792.2402697457055
80,28.42,26.45,15.16,3.19,False,False,False,False,True,3029.266844084438
81,33.42,58.76,14.75,4.42,False,False,False,False,True,4563.079277311876
82,37.42,54.77,13.5,19.34,False,False,False,True,False,5105.522077790589
83,41.79,77.65,17.87,6.35,True,False,False,False,False,5841.289854762091
85,30.05,40.47,7.75,5.62,False,False,False,False,True,3461.2677946327944
86,16.31,45.35,15.3,6.54,False,False,True,False,False,3439.4612775099245
87,33.32,32.52,17.76,5.12,False,False,True,False,False,3648.1005062649183
88,31.7,51.53,15.13,5.17,False,False,True,False,False,4244.54455614664
89,36.45,53.69,5.18,5.69,False,False,True,False,False,4137.512257872136
90,12.69,54.44,14.43,4.86,False,False,False,False,True,3554.072134352345
91,45.02,40.74,18.14,3.62,False,False,True,False,False,4402.996056900022
92,29.85,83.98,32.19,3.34,True,False,False,False,False,6068.616144407382
93,74.66,39.11,3.48,5.67,False,True,False,False,False,5017.025251044933
94,18.99,44.88,13.74,4.71,False,False,False,False,True,3395.034149647123
95,20.14,45.04,7.35,4.21,False,False,True,False,False,3173.572694885628
96,15.66,38.08,10.29,2.72,False,False,False,False,True,2766.431602935619
97,23.0,42.14,9.44,18.9,False,False,False,True,False,3830.2742418984467
98,22.64,82.9,29.53,3.77,True,False,False,False,False,5656.212482394668
99,14.85,53.67,18.22,4.75,False,False,True,False,False,3756.9537656187904
100,38.51,30.12,10.14,5.97,False,False,False,False,True,3493.85803396322
101,28.72,30.44,1.97,5.2,False,False,True,False,False,2744.724873115089
102,28.13,39.52,4.69,4.35,False,False,False,False,True,3165.5532494151057
103,46.87,48.82,9.96,6.48,False,False,True,False,False,4589.411935567782
104,53.74,50.15,7.8,6.58,False,False,False,False,True,4827.062906695346
105,21.24,26.17,14.63,6.91,False,False,False,False,True,2855.038767926186
106,30.28,41.27,8.19,4.76,False,False,True,False,False,3483.062288601286
107,23.49,35.13,7.04,4.14,False,False,False,False,True,2892.238200100985
108,4.97,46.85,11.95,4.92,False,False,False,False,True,2841.5364375620366
109,24.23,83.78,40.01,4.02,True,False,False,False,False,6184.074224779861
111,22.37,21.95,1.86,5.05,False,False,False,False,True,2156.278327375897
112,14.76,47.98,4.3,5.27,False,False,False,False,True,2994.4044092654785
113,23.48,40.47,5.7,4.62,False,False,True,False,False,3079.6593826608546
114,23.98,47.6,15.53,5.77,False,False,False,False,True,3819.9238147584906
115,5.28,32.03,12.89,4.8,False,False,True,False,False,2303.972994147993
116,31.7,80.45,39.88,6.58,True,False,False,False,False,6448.146962115748
117,33.38,77.94,30.12,4.57,True,False,False,False,False,5945.748959928227
118,35.43,50.35,-1.04,5.36,False,False,False,False,True,3704.593957323804
119,42.01,77.96,14.62,3.99,True,False,False,False,False,5650.538869039847
120,40.52,31.56,2.1,5.02,False,False,True,False,False,3266.338120334797
121,38.29,68.94,37.36,5.77,True,False,False,False,False,6114.081096707637
122,31.65,45.69,5.63,4.6,False,False,False,False,True,3608.6869000627958
123,36.33,62.71,10.91,21.24,False,False,False,True,False,5354.1514510987445
124,19.09,31.83,17.55,5.4,False,False,False,False,True,3060.3502125450077
125,40.38,77.45,32.3,4.02,True,False,False,False,False,6269.274745783897
126,25.73,34.47,14.82,24.87,False,False,False,True,False,4092.3290607989966
127,34.13,58.77,6.13,13.78,False,False,False,True,False,4613.417966778032
128,31.71,48.36,5.55,2.68,False,False,False,False,True,3635.289156276713
130,47.82,45.9,11.08,5.44,False,False,False,False,True,4513.641141571407
131,48.82,53.45,17.97,4.49,False,False,False,False,True,5094.010836130607
133,28.42,35.73,4.94,3.35,False,False,True,False,False,2997.212720279395
134,27.7,46.28,16.35,4.18,False,False,True,False,False,3876.888004821602
135,27.4,24.97,8.77,4.73,False,False,True,False,False,2728.617021275053
136,38.04,38.43,15.4,3.16,False,False,True,False,False,3897.7572832380047
137,27.31,28.93,22.87,20.3,False,False,False,True,False,4075.2786748710228
138,22.17,46.74,9.43,5.16,False,False,False,False,True,3446.3614542032055
139,29.67,34.57,6.44,5.11,False,False,False,False,True,3129.727722507065
140,43.89,13.41,-0.39,13.8,False,False,False,True,False,2932.3509697515237
141,26.57,36.29,2.96,4.22,False,False,True,False,False,2893.9501847569313
142,26.38,39.3,12.43,16.14,False,False,False,True,False,3865.2830096021385
143,37.22,28.71,7.38,22.45,False,False,False,True,False,3929.9235683060706
144,26.49,37.71,14.07,15.3,False,False,False,True,False,3846.7720591815437
145,26.39,85.8,24.19,5.62,True,False,False,False,False,5777.389046088879
146,13.3,57.65,3.79,4.18,False,False,False,False,True,3253.6348284627293
147,14.43,46.06,3.6,6.75,False,False,True,False,False,2936.0059699116305
148,12.47,34.55,14.86,4.97,False,False,True,False,False,2776.777208119157
149,26.36,39.43,11.54,11.45,False,False,False,True,False,3645.438751147879
150,23.77,35.82,3.56,20.5,False,False,False,True,False,3443.4031883867547
151,31.96,30.22,12.04,3.3,False,False,False,False,True,3216.5148219897105
152,25.31,45.27,18.1,27.85,False,False,False,True,False,4765.991425845572
153,11.59,27.2,6.88,20.13,False,False,False,True,False,2738.465246069647
154,26.52,41.99,2.83,5.58,False,False,False,False,True,3180.6767671785083
155,20.77,26.48,5.12,6.05,False,False,True,False,False,2433.3173087422347
156,50.81,36.95,10.48,5.18,False,False,True,False,False,4231.480983182418
157,24.24,41.22,22.8,4.9,False,False,False,False,True,3829.41276934486
158,26.48,42.43,10.9,4.67,False,False,True,False,False,3480.5438403418816
159,23.73,58.12,13.54,4.44,False,False,True,False,False,4085.924823142535
160,19.12,49.29,1.19,25.72,False,False,False,True,False,3913.1536881425673
161,29.26,46.21,10.89,3.66,False,False,False,False,True,3697.0540110905677
162,38.17,83.09,47.86,6.06,True,False,False,False,False,7111.531711479389
163,29.3,71.7,39.3,5.21,True,False,False,False,False,5926.875296028935
164,38.18,41.34,12.23,4.79,False,False,False,False,True,3957.1450005483694
166,15.95,45.01,4.79,6.28,False,False,True,False,False,2980.3075537541677
167,28.13,35.6,17.23,20.98,False,False,False,True,False,4165.743872974897
168,38.68,42.83,3.25,5.59,False,False,True,False,False,3713.905134626922
169,30.82,50.65,7.41,6.41,False,False,False,False,True,3911.2898975412195
170,39.2,43.14,1.59,3.24,False,False,True,False,False,3586.950107740632
171,25.8,37.18,3.28,15.41,False,False,False,True,False,3363.351002498564
172,10.66,27.93,4.65,5.68,False,False,False,False,True,2051.3531706111366
174,41.67,56.21,2.15,20.37,False,False,False,True,False,4912.819093075266
175,23.77,34.45,6.81,6.19,False,False,False,False,True,2952.783681849035
176,26.27,28.26,13.98,6.05,False,False,False,False,True,3083.5134987865354
177,24.48,46.33,11.01,3.48,False,False,False,False,True,3520.9546723126114
178,21.6,41.65,8.19,5.58,False,False,True,False,False,3181.836547397806
179,32.86,43.34,13.29,7.01,False,False,False,False,True,3964.850493756134
180,12.51,27.43,14.42,4.05,False,False,False,False,True,2435.1881349885275
181,24.82,42.24,9.92,6.19,False,False,True,False,False,3416.576711406808
182,42.06,43.43,16.62,3.87,False,False,True,False,False,4348.177844093271
183,35.84,36.41,12.95,6.11,False,False,True,False,False,3754.7794283232397
184,34.06,83.58,40.02,5.86,True,False,False,False,False,6637.021037021369
185,43.82,46.49,9.16,20.73,False,False,False,True,False,4912.801755664677
186,23.1,44.95,12.09,5.4,False,False,True,False,False,3524.2809052022817
187,31.91,40.46,3.2,5.75,False,False,True,False,False,3357.902065643757
188,44.95,42.14,11.33,17.99,False,False,False,True,False,4751.844963608742
189,29.05,42.79,13.04,5.19,False,False,True,False,False,3701.3790745781675
190,31.76,44.09,9.07,4.6,False,False,False,False,True,3685.5279730739844
191,31.33,33.0,15.98,12.38,False,False,False,True,False,3804.6630594533426
192,33.67,34.74,9.34,2.96,False,False,False,False,True,3329.546185212006
193,24.45,58.81,2.76,9.01,False,False,False,True,False,3896.269623827998
194,36.49,49.87,15.61,6.31,False,False,False,False,True,4441.073408883144
195,36.5,39.01,19.23,3.93,False,False,False,False,True,4039.4825720534736
196,38.98,37.93,6.45,4.33,False,False,True,False,False,3606.3512512242914
197,17.48,54.44,9.59,6.12,False,False,False,False,True,3609.187965242752
199,36.43,86.65,36.97,5.71,True,False,False,False,False,6727.936162339146
200,19.69,39.5,11.87,16.21,False,False,False,True,False,3588.7183885225404
201,29.6,25.69,10.64,4.32,False,False,True,False,False,2909.261578807133
202,23.65,49.96,8.62,4.97,False,False,False,False,True,3593.961667320508
203,25.48,15.76,2.08,5.76,False,False,False,False,True,2061.433358659766
204,33.72,44.79,9.88,17.14,False,False,False,True,False,4322.51898292986
205,29.96,28.42,17.52,5.88,False,False,False,False,True,3376.2689405410706
206,21.24,40.38,8.65,4.91,False,False,True,False,False,3094.531972179731
207,19.98,37.19,18.99,5.64,False,False,False,False,True,3369.166792830282
208,25.07,77.78,37.76,4.2,True,False,False,False,False,5893.422738215528
209,30.6,33.53,13.49,21.97,False,False,False,True,False,4080.5353004407852
210,24.21,50.89,10.57,24.75,False,False,False,True,False,4515.039479340168
211,50.75,76.55,52.36,5.2,True,False,False,False,False,7497.474897834108
212,19.68,34.71,13.09,6.13,False,False,False,False,True,3045.3893449270918
213,47.28,44.36,10.19,5.12,False,False,True,False,False,4383.041447187015
214,24.98,42.12,15.46,4.89,False,False,False,False,True,3588.36677129412
215,25.17,55.74,3.87,12.68,False,False,False,True,False,3993.2158947890966
216,77.19,60.02,9.47,6.78,False,True,False,False,False,6235.2038060507575
217,28.27,84.42,41.52,3.42,True,False,False,False,False,6413.579246919317
219,34.94,42.61,7.25,4.33,False,False,False,False,True,3664.6431295308994
221,37.72,65.76,46.49,3.26,True,False,False,False,False,6228.235422702098
222,33.74,39.13,14.04,3.75,False,False,False,False,True,3726.378434384167
223,25.32,43.47,9.77,5.48,False,False,True,False,False,3459.8494620953115
224,9.05,42.54,8.7,6.23,False,False,False,False,True,2758.7832921898816
225,45.01,48.5,8.26,4.65,False,False,False,False,True,4352.711872805883
226,38.47,52.23,16.07,4.91,False,False,False,False,True,4565.213859847135
227,40.3,81.19,32.41,4.8,True,False,False,False,False,6448.410896236734
228,30.48,33.12,9.35,3.97,False,False,False,False,True,3183.3417223127976
230,8.99,69.38,5.64,5.4,False,False,True,False,False,3673.825989074463
231,41.08,29.6,13.06,3.95,False,False,False,False,True,3604.3804722936584
233,38.7,44.96,10.75,5.36,False,False,False,False,True,4080.9031517689923
234,39.63,43.08,7.76,5.07,False,False,True,False,False,3916.5809896122555
236,22.28,42.97,15.03,4.75,False,False,True,False,False,3497.015922315265
237,46.14,44.54,8.78,24.82,False,False,False,True,False,5078.038495487992
238,40.47,45.7,13.61,5.64,False,False,True,False,False,4303.560704717817
239,28.5,41.26,9.13,5.02,False,False,True,False,False,3467.7473720961657
240,17.22,23.56,5.57,6.55,False,False,True,False,False,2204.081626096836
241,23.61,26.77,18.21,6.01,False,False,True,False,False,3089.9386163510435
242,7.51,33.17,10.3,25.63,False,False,False,True,False,3163.242822005958
243,16.1,23.55,15.11,7.44,False,False,True,False,False,2588.834760915738
244,36.8,45.75,8.74,21.96,False,False,False,True,False,4632.225825069946
246,39.71,33.83,0.44,5.4,False,False,False,False,True,3274.731213428941
247,20.1,49.41,5.09,18.88,False,False,False,True,False,3847.4777050789057
248,20.31,45.51,19.23,5.22,False,False,False,False,True,3705.734780295367
249,14.07,44.4,9.9,5.55,False,False,False,False,True,3065.6242332311176
250,24.21,80.32,39.72,5.14,True,False,False,False,False,6071.639351210179
251,30.49,40.41,6.49,16.69,False,False,False,True,False,3865.3624000139093
252,41.49,36.99,8.62,23.76,False,False,False,True,False,4531.853740269007
253,22.82,48.95,8.53,6.25,False,False,False,False,True,3567.082711967358
254,32.39,32.18,21.11,13.81,False,False,False,True,False,4081.629676259967
255,36.34,44.14,9.07,4.87,False,False,False,False,True,3874.170165529787
256,42.25,56.23,2.32,5.27,False,False,False,False,True,4343.282782957388
257,29.12,65.8,5.98,6.64,False,False,True,False,False,4393.8120403398325
258,39.76,51.04,11.51,4.47,False,False,True,False,False,4368.574434171919
259,26.21,37.96,7.09,3.99,False,False,True,False,False,3112.153404582028
260,24.13,38.02,6.2,5.03,False,False,False,False,True,3039.410482140202
261,32.34,72.22,38.31,5.83,True,False,False,False,False,6052.016963303443
262,18.27,27.67,13.47,6.95,False,False,True,False,False,2754.0852066340117
263,22.95,39.44,12.79,20.38,False,False,False,True,False,3928.1620831745727
264,20.09,46.29,5.43,5.08,False,False,False,False,True,3174.7342562892663
265,22.64,52.36,15.46,5.61,False,False,True,False,False,3944.2655204662433
267,53.19,81.97,36.92,4.69,True,False,False,False,False,7176.129213930133
268,35.04,45.82,4.65,4.11,False,False,False,False,True,3683.3989761297817
269,11.64,45.08,4.48,2.85,False,False,True,False,False,2664.010366791718
270,38.36,40.31,11.26,19.99,False,False,False,True,False,4492.672414911463
271,30.82,79.51,44.19,4.71,True,False,False,False,False,6470.462590027204
272,35.68,83.0,29.93,4.76,True,False,False,False,False,6242.409759517041
273,35.37,31.02,10.14,4.99,False,False,True,False,False,3363.8457617248887
274,27.75,41.98,22.32,18.5,False,False,False,True,False,4517.401305552375
275,30.1,26.88,4.67,18.47,False,False,False,True,False,3305.6645194788093
276,35.08,40.54,0.99,4.35,False,False,True,False,False,3341.237631804949
277,20.61,38.56,3.95,5.6,False,False,True,False,False,2854.9086822285108
278,20.33,44.17,6.56,19.69,False,False,False,True,False,3727.6809624591797
280,30.16,32.71,2.33,24.56,False,False,False,True,False,3688.15534437576
281,4.46,49.34,3.17,18.88,False,False,False,True,False,3124.9279882206442
282,42.08,36.83,14.39,5.76,False,False,True,False,False,4059.328393744863
283,24.23,14.09,7.27,5.39,False,False,False,False,True,2135.49934321811
284,20.06,39.69,0.2,7.06,False,False,True,False,False,2787.697912747402
285,29.73,75.33,30.57,4.12,True,False,False,False,False,5685.231402561582
286,6.97,35.55,5.63,8.62,False,False,False,True,False,2362.636089687631
287,23.31,50.4,6.97,29.13,False,False,False,True,False,4498.7747849998805
288,29.12,49.21,17.05,6.21,False,False,False,False,True,4166.491723785851
289,43.02,87.81,35.32,4.25,True,False,False,False,False,6911.021345195068
290,30.89,57.22,8.86,5.09,False,False,False,False,True,4188.4646011216355
291,26.35,41.85,3.26,4.03,False,False,False,False,True,3121.6596164883254
292,36.8,51.58,7.74,4.56,False,False,True,False,False,4125.328295992583
293,41.86,47.19,14.98,4.24,False,False,False,False,True,4435.85719523627
294,17.47,34.98,11.41,15.37,False,False,False,True,False,3271.796308781753
295,34.56,61.65,6.78,24.64,False,False,False,True,False,5203.4582703458
297,26.35,31.61,4.78,10.17,False,False,False,True,False,3014.3564767973166
298,35.79,41.48,7.58,4.67,False,False,True,False,False,3674.2439690860124
299,33.07,48.16,14.3,4.42,False,False,False,False,True,4096.455223109901
300,38.38,75.93,47.14,4.86,True,False,False,False,False,6746.583008332177
301,36.63,51.73,10.91,13.52,False,False,False,True,False,4608.988663184663
303,42.38,40.21,11.54,6.7,False,False,False,False,True,4130.438551441991
304,11.01,40.78,19.06,5.62,False,False,True,False,False,3151.606346647246
305,42.9,83.37,33.62,3.78,True,False,False,False,False,6649.452056103189
306,38.28,30.73,16.44,4.58,False,False,False,False,True,3697.7962405793305
307,46.7,43.95,4.02,5.44,False,False,False,False,True,4103.444697860209
308,32.78,54.55,2.75,3.89,False,False,True,False,False,3856.0835967606317
309,37.22,36.27,18.63,4.6,False,False,False,False,True,3967.4008636799313
310,13.01,87.29,51.81,4.25,True,False,False,False,False,6361.9295034159495
311,14.74,52.63,7.24,7.56,False,False,False,False,True,3387.2210185676536
312,31.26,33.12,19.31,29.43,False,False,False,True,False,4628.610953766373
313,40.24,45.93,13.89,17.24,False,False,False,True,False,4787.704817166815
314,41.16,33.51,14.74,5.68,False,False,True,False,False,3901.1841892016355
315,18.58,38.06,6.42,3.13,False,False,True,False,False,2752.089017830356
316,34.8,26.35,10.95,5.58,False,False,False,False,True,3201.9544953676036
317,42.21,45.82,8.87,4.04,False,False,True,False,False,4130.4882348916335
318,41.99,70.31,22.47,5.35,True,False,False,False,False,5709.987931158939
319,31.41,22.32,11.62,4.85,False,False,True,False,False,2909.9965538230476
320,40.33,38.05,8.16,5.4,False,False,False,False,True,3769.067932474637
321,18.3,65.64,34.72,6.77,True,False,False,False,False,5119.895013222742
322,39.0,47.78,11.77,3.9,False,False,True,False,False,4195.136718675953
323,37.66,52.27,9.5,4.8,False,False,False,False,True,4278.160244209618
324,33.55,37.79,5.8,4.08,False,False,False,False,True,3350.2197260909848
325,44.93,37.29,9.89,16.26,False,False,False,True,False,4432.090546448047
326,31.02,28.69,1.19,3.97,False,False,False,False,True,2706.829604972345
327,30.67,82.58,19.37,4.47,True,False,False,False,False,5589.8053780612045
328,18.9,45.67,3.33,32.07,False,False,False,True,False,4089.6103419022515
329,76.92,51.65,6.33,4.19,False,True,False,False,False,5663.5239973131
330,40.18,93.32,32.04,5.15,True,False,False,False,False,6923.199085381671
331,21.72,40.86,4.64,5.39,False,False,False,True,False,3007.0953886431184
332,25.52,60.1,18.85,3.97,False,False,False,False,True,4432.780425001192
333,30.21,32.72,9.09,6.37,False,False,True,False,False,3235.860622070897
334,23.72,46.02,6.45,4.49,False,False,False,False,True,3329.6029426695222
335,31.23,56.25,11.62,4.75,False,False,True,False,False,4260.030946583918
336,26.4,82.56,38.17,4.97,True,False,False,False,False,6186.463115506524
337,38.83,39.22,9.1,35.97,False,False,False,True,False,5015.2441653345795
338,40.38,45.05,16.55,4.43,False,False,False,False,True,4352.742936546894
340,41.88,45.37,13.83,4.81,False,False,True,False,False,4336.77717479631
341,34.85,31.54,6.78,6.03,False,False,True,False,False,3269.980369778704
342,27.34,82.42,29.53,4.48,True,False,False,False,False,5848.912626657003
343,20.45,82.12,55.63,3.93,True,False,False,False,False,6586.4387086379575
344,31.92,42.41,12.61,5.01,False,False,False,False,True,3777.4687632328087
345,19.38,44.28,9.06,5.99,False,False,True,False,False,3254.055301057281
346,30.33,37.33,18.96,5.22,False,False,False,False,True,3768.6377470208276
347,31.94,78.23,38.38,4.7,True,False,False,False,False,6223.695213460359
348,48.08,81.75,31.96,3.04,True,False,False,False,False,6696.265332541568
349,8.78,76.96,47.97,4.98,True,False,False,False,False,5645.883850736966
350,35.46,31.6,7.17,4.59,False,False,True,False,False,3247.6312358939845
351,46.15,36.78,16.09,6.52,False,False,True,False,False,4324.255286891329
352,28.97,52.25,10.19,5.14,False,False,True,False,False,3962.9286150526073
353,18.21,51.88,7.68,5.2,False,False,False,False,True,3427.1660075890345
354,25.98,45.24,7.45,5.78,False,False,False,False,True,3480.854725225049
355,31.26,59.39,5.0,16.61,False,False,False,True,False,4585.155563764467
356,40.29,26.83,13.62,5.67,False,False,False,False,True,3548.701890692552
357,34.1,37.59,13.36,29.5,False,False,False,True,False,4678.93500918714
358,12.95,17.23,10.7,6.1,False,False,False,False,True,1973.0459278137089
359,24.65,39.09,11.66,5.19,False,False,True,False,False,3326.30129243621
360,25.65,47.51,10.98,5.32,False,False,False,False,True,3676.015040356174
361,20.65,85.43,29.64,5.81,True,False,False,False,False,5770.20706943863
362,33.4,76.77,25.89,5.09,True,False,False,False,False,5744.1488810547025
363,29.81,36.97,14.0,3.38,False,False,False,False,True,3460.6280048664375
364,40.5,31.36,12.14,5.9,False,False,False,False,True,3691.7104115969328
365,28.96,38.31,10.35,6.16,False,False,True,False,False,3447.6374004373943
366,33.48,51.64,11.33,5.64,False,False,False,False,True,4186.912799278213
367,31.9,85.01,7.97,5.68,True,False,False,False,False,5324.499143522875
368,44.74,36.48,14.43,5.23,False,False,True,False,False,4132.565872418762
369,46.12,53.15,18.2,5.74,False,False,True,False,False,5021.271553068372
370,20.35,40.3,8.72,2.6,False,False,False,False,True,2970.0145323584243
371,31.23,45.51,10.22,28.48,False,False,False,True,False,4708.9554426267605
372,28.94,38.16,7.8,8.96,False,False,False,True,False,3450.291580566916
373,25.71,33.08,2.97,4.92,False,False,False,False,True,2762.297811095527
374,21.06,33.31,8.98,20.03,False,False,False,True,False,3430.950340304248
375,26.91,32.48,11.6,6.34,False,False,False,False,True,3196.525960391534
376,33.77,38.2,6.1,4.81,False,False,True,False,False,3419.3546633003784
377,26.81,32.04,15.38,20.11,False,False,False,True,False,3878.8659028022057
378,26.01,33.47,3.11,3.14,False,False,True,False,False,2717.6803896808783
379,32.67,45.09,2.09,5.9,False,False,True,False,False,3525.931785229094
380,31.45,76.93,27.92,5.34,True,False,False,False,False,5767.936581126156
381,8.48,32.81,8.94,4.01,False,False,True,False,False,2272.428536524421
382,35.12,38.32,16.13,25.79,False,False,False,True,False,4716.711230413541
383,29.01,40.19,13.54,5.23,False,False,True,False,False,3631.7476554762566
384,33.82,46.37,10.29,16.28,False,False,False,True,False,4370.333786907776
385,29.67,37.92,9.36,3.12,False,False,False,False,True,3300.5651079690483
386,10.41,47.33,14.28,6.29,False,False,True,False,False,3236.9945679713883
387,23.54,88.88,23.06,5.92,True,False,False,False,False,5763.52275034179
388,27.34,54.33,12.64,5.49,False,False,True,False,False,4090.2516485307606
389,28.66,84.05,42.93,3.25,True,False,False,False,False,6452.844571472311
390,45.86,47.8,5.07,6.48,False,False,True,False,False,4309.810484831599
391,18.94,37.85,8.46,5.78,False,False,False,False,True,2934.7830593220024
392,30.5,38.39,2.94,6.21,False,False,False,False,True,3224.3545074116764
393,13.17,31.94,14.82,6.62,False,False,False,False,True,2765.0445630384897
394,48.91,35.38,9.77,3.85,False,False,True,False,False,4017.495556974225
395,35.46,40.06,7.82,4.89,False,False,False,False,True,3630.2155674718224
396,19.02,36.38,0.98,4.65,False,False,False,False,True,2542.086340726648
398,77.3,25.14,12.64,2.96,False,True,False,False,False,4831.03169707946
399,47.33,62.31,13.19,5.5,False,False,False,False,True,5236.360474955914
400,19.37,31.27,3.69,4.13,False,False,True,False,False,2427.0737653397405
401,75.1,47.48,4.64,5.24,False,True,False,False,False,5398.638212968031
402,27.95,63.34,11.46,5.9,False,False,True,False,False,4441.7285578093515
403,17.7,44.97,7.67,4.89,False,False,True,False,False,3114.5657104229626
404,14.75,42.41,11.33,6.77,False,False,True,False,False,3119.1498154528276
